CD_CLIENTE,Recencia,Frequencia,Monetario,R_Score,F_Score,M_Score,RFM_Score,Segmento
T03491,407,18,56030.91955087949,4,4,5,445,Amantes
T03510,309,33,69599.16347585643,4,5,5,455,Amantes
T03524,3992,34,31824.192385491395,1,5,4,154,Clientes Regulares
T03546,303,13,20212.234505962977,4,4,4,444,Amantes
T03558,855,30,88732.34766876425,3,5,5,355,Prestes a te largar
T03581,234,37,39718.56989427689,5,5,5,555,Almas Gêmeas
T03585,306,88,101750.74386544661,4,5,5,455,Amantes
T03607,187,12,12649.263888920048,5,3,4,534,Amantes
T03638,2259,15,12257.859544822511,1,4,4,144,Clientes Regulares
T03644,3609,15,56593.92114887826,1,4,5,145,Clientes Regulares
T03650,1499,17,32980.118638233536,2,4,4,244,Prestes a te largar
T03655,1150,14,7077.853884499676,2,4,3,243,Prestes a te largar
T03673,1220,12,24973.094567417334,2,3,4,234,Prestes a te largar
T03718,348,39,77105.00787512664,4,5,5,455,Amantes
T03752,249,15,31512.45534237332,5,4,4,544,Amantes
T03753,185,27,7764.242900104142,5,5,3,553,Amantes
T03799,788,36,124392.6734066314,3,5,5,355,Prestes a te largar
T03882,3447,9,3517.8214763341966,1,3,3,133,Clientes Regulares
T03960,3666,7,2746.123583162534,1,3,3,133,Clientes Regulares
T03967,549,103,565584.5698773676,3,5,5,355,Prestes a te largar
T03969,166,67,237502.23147248244,5,5,5,555,Almas Gêmeas
T03993,4099,22,27805.081937319614,1,4,4,144,Clientes Regulares
T04028,1220,60,101438.90592975181,2,5,5,255,Prestes a te largar
T04036,1383,28,89503.9614847886,2,5,5,255,Prestes a te largar
T04065,361,56,101507.87441372976,4,5,5,455,Amantes
T04083,319,38,25675.59696831302,4,5,4,454,Amantes
T04132,1362,19,12701.870960022196,2,4,4,244,Prestes a te largar
T04205,198,51,22552.8834344175,5,5,4,554,Amantes
T04247,193,91,203838.5782377973,5,5,5,555,Almas Gêmeas
T04251,190,53,555193.6938359262,5,5,5,555,Almas Gêmeas
T04281,1226,4,264.0695044232476,2,2,2,222,Prestes a te largar
T04305,156,74,134391.6574565202,5,5,5,555,Almas Gêmeas
T04325,1509,29,11905.588908962936,2,5,4,254,Prestes a te largar
T04366,632,66,136196.96616845694,3,5,5,355,Prestes a te largar
T04367,1332,5,430.3614903260496,2,2,2,222,Prestes a te largar
T04389,4355,15,394.1872976751,1,4,2,142,Clientes Regulares
T04396,334,39,30455.48789207199,4,5,4,454,Amantes
T04398,145,65,157367.2261377099,5,5,5,555,Almas Gêmeas
T04404,1611,26,26180.782915930686,2,4,4,244,Prestes a te largar
